id,student_id,teacher_id,juz,juz_hali,jadeed_surah_ayat,week_date,notes,created_at
4a781875-c468-437b-8690-f2a719c4e8b9,0cc27a7a-a964-4e64-bc58-cdd65142cd7e,341cd4f7-8e45-4a26-a570-77755a90a42c,"[{""value"":""30"",""marks"":""8""},{},{}]","{""type"":""pages"",""from"":""561"",""till"":""563"",""marks"":""8""}","{""type"":""surah_ayat"",""surah"":""66"",""ayat"":""7"",""page"":560}",2026-08-05,,2026-08-05 12:23:23.344255+00
4e594ccc-4407-4a2b-8e4b-a1d50773e5cd,13687291-5761-44ff-8c59-f46e6b03b8b9,a3213925-ef96-4c76-bc43-da6c31b78775,"{""value"":""30"",""marks"":""7.5""}","{""type"":""surah"",""from"":""الملك"",""till"":""الملك"",""marks"":""6.5""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المنافقون"",""ayat"":""1""}",2026-08-03,,2026-08-03 12:28:10.34422+00
588358fc-3791-4c2d-98aa-e3f065cc8ab3,d696341d-00ef-4ffb-b712-eba1c0cc4bf8,341cd4f7-8e45-4a26-a570-77755a90a42c,"{""value"":""30"",""marks"":""8""}","{""type"":""surah"",""from"":""المرسلات"",""till"":""الإنسان""}",,2026-07-20,,2026-07-20 11:56:27.401802+00
594d72fd-22f8-4a8c-8fd3-233cc298ddbf,0f23c938-cf37-41ad-8fd9-8fbd0ab9f133,341cd4f7-8e45-4a26-a570-77755a90a42c,,"  5pages:8 marks",,2026-07-12,,2026-07-12 15:54:52.36298+00
5a3eb85d-f840-44f9-8926-9c780b21314d,070d6330-cb79-40d6-a97d-81bace2defb9,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""7.5""}","{""type"":""surah"",""from"":""التحريم"",""till"":""الملك"",""marks"":""8""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""الطلاق"",""ayat"":""2""}",2026-08-01,good,2026-08-01 12:24:27.039847+00
61b67e3c-b17a-4323-8ab4-cca8f61057e0,0cc27a7a-a964-4e64-bc58-cdd65142cd7e,341cd4f7-8e45-4a26-a570-77755a90a42c,"[{""value"":""30"",""marks"":""8.5""},{},{}]","{""type"":""pages"",""from"":""561"",""till"":""563"",""marks"":""7""}","{""type"":""surah_ayat"",""surah"":""66"",""ayat"":""5"",""page"":560}",2026-08-03,,2026-08-03 11:59:05.942054+00
61efcab9-8f75-4883-afce-5e424048b106,070d6330-cb79-40d6-a97d-81bace2defb9,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""8.5""}","{""type"":""surah"",""from"":""التحريم"",""till"":""الملك"",""marks"":""9""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""الطلاق"",""ayat"":""6""}",2026-08-06,,2026-08-06 12:19:45.536929+00
63f313d5-e416-426f-a3a8-94178d35487e,7d1a633e-2123-47b4-8267-ecf262857dc3,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""5""}","{""from"":""30"",""till"":""27"",""marks"":""7""}",,2026-08-01,,2026-08-01 12:19:11.782896+00
65df4bdb-ebd4-457a-97f8-8778b87dd21d,070d6330-cb79-40d6-a97d-81bace2defb9,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""8""}","{""type"":""surah"",""from"":""الطلاق"",""till"":""الملك"",""marks"":""8""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""الطلاق"",""ayat"":""3""}",2026-08-03,,2026-08-03 11:55:52.750888+00
67285d5c-3d29-4f28-9cec-bf3ecf819b66,665f5d37-4a0f-4811-b223-415f0154d022,341cd4f7-8e45-4a26-a570-77755a90a42c,,,,2026-08-05,"Ikhtebar(janab shk Murtaza bhai jamali) ",2026-08-05 12:27:35.395696+00
6a865c8a-d685-4fd7-89cf-9852ecc90187,001c967a-f06c-4062-a6ba-d550c6ec4e2b,34396324-e7f3-4e96-b05a-e7e4defc89e8,"{""value"":""30"",""marks"":""6""}","{""from"":""30"",""till"":""5"",""marks"":""6""}","{""type"":""surah_ayat"",""from"":"""",""till"":"""",""surah"":""المزمل"",""ayat"":""8""}",2026-08-03,,2026-08-03 12:11:47.330697+00
6b098bec-10e2-4d93-98e1-51953f078259,302af2cb-86c3-4463-b633-0d84a105c022,f139bff5-780e-4dfa-bde1-3570b1f32467,"{""value"":""30"",""marks"":""8""}",,,2026-08-04,,2026-08-04 11:37:47.512304+00
